topic,word,prop
13,text,0.009786208160221577
13,develop,0.008362759836018084
13,articl,0.008125743828713894
13,scholar,0.007138890679925679
13,studi,0.006635303609073162
13,tool,0.006633228156715632
13,work,0.0064054871909320354
13,literari,0.006310087628662586
13,project,0.0061639705672860146
13,cultur,0.005749773699790239
13,visual,0.0053781792521476746
13,practic,0.0053691528737545005
13,use,0.005111709702759981
13,within,0.004645866807550192
13,discuss,0.004571772180497646
13,inform,0.004550342913717032
13,explor,0.0043349419720470905
14,data,0.04143626242876053
14,research,0.015490001998841763
14,digit,0.012134740129113196
14,curat,0.007705948315560819
14,project,0.0070633571594953546
14,studi,0.00677599897608161
14,use,0.006718859542161225
14,model,0.006529262755066156
14,resourc,0.006139453034847975
14,collect,0.006110107991844416
14,work,0.005972709506750107
14,translat,0.005907177925109863
14,inform,0.005445866379886866
14,text,0.0050703445449471465
14,paper,0.004954002797603607
14,base,0.004833722952753306
14,manag,0.004498208872973919
14,provid,0.004461377393454313
14,metadata,0.004428138025105
14,share,0.0043159048072993755
15,digit,0.015069412067532541
15,model,0.014153790660202503
15,use,0.008175683207809925
15,hypertext,0.0059880041517317295
15,charact,0.005940969102084637
15,work,0.0057563548907637605
15,text,0.005175662692636251
15,base,0.00515059707686305
15,network,0.004929783754050732
15,knowledg,0.004875493235886097
15,process,0.0044295210391283035
15,student,0.004326893016695975
15,paper,0.00419649388641119
15,human,0.004079494625329971
15,inform,0.0037876507267355923
15,approach,0.0035987587179988627
15,system,0.003504714695736766
15,cultur,0.003456776961684227
15,world,0.0034416420385241513
15,syllabl,0.0033837491646409035
16,document,0.010955318808555605
16,imag,0.010826076380908491
16,use,0.010555777698755264
16,inform,0.008147197775542736
16,studi,0.007964698597788809
16,histor,0.006758979521691799
16,method,0.00661384966224432
16,digit,0.006293249316513538
16,result,0.006108513101935387
16,articl,0.0053292601369321355
16,base,0.005110037513077259
16,visual,0.004876122809946537
16,present,0.004831712692975998
16,approach,0.0048063364811241635
16,data,0.004735947120934725
16,model,0.004279995337128639
16,propos,0.004106574691832066
16,provid,0.004004825837910175
16,collect,0.0038441070355474953
16,automat,0.003778319107368589
