filename	subcategory	authors	title	keywords	topics
361.xml	Poster	McMullen, Kevin	Free FannyPacks: A Model for the Easy Digital Publication of Archival Periodical Material	periodicals; digitization; publication model; TEI	archives, repositories, sustainability and preservation; literary studies; publishing and delivery systems; digitisation, resource creation, and discovery; scholarly editing; xml; digital humanities - pedagogy and curriculum; english studies; English
265.xml	Long Paper	Maryl, Maciej; Piasecki, Maciej; Młynarczyk, Ksenia	Where Close and Distant Readings Meet: Text Clustering Methods in Literary Analysis of Weblog Genres	Weblogs; genre; stylometry; stylistics; typology	literary studies; natural language processing; stylistics and stylometry; text analysis; philology; content analysis; interdisciplinary collaboration; linguistics; English
171.xml	Short Paper	Moretti, Giovanni; Tonelli, Sara; Menini, Stefano	Building Large Persons’ Networks to Explore Digital Corpora 	persons' network; network extraction; network visualisation	software design and development; text analysis; content analysis; visualisation; networks, relationships, graphs; data mining / text mining; English
630.xml	Poster	Carlton, Patricia Lynn	From Ashes to Ashé: Digital Disaster Archives as Memorials	Digital archive; Disaster archive; Content analysis; Close and Distanced Reading	archives, repositories, sustainability and preservation; content analysis; cultural studies; crowdsourcing; data mining / text mining; English
27.xml	Long Paper	Hoover, David L.	Microanalyzing Parts of Texts	character dialogue; computational stylistics; text-analysis	literary studies; stylistics and stylometry; text analysis; English
228.xml	Poster	Stertzer, Jennifer Elizabeth; Cavanaugh, Erica Fallon	Making George Washington's Financial Documents Accessible: Transcription, Data, and the Drupal Solution 	digital editing; Drupal; relational database; web publication	databases & dbms; historical studies; interface and user experience design; metadata; digitisation, resource creation, and discovery; linking and annotation; English
472.xml	Panel / Multiple Paper Session	Collins, Brennan; Hurley, Joe; Melton, Sarah; Rorabaugh, Pete; Davis, Marni; Page, Michael; Dusseault, Ruth; Varner, Jay; Miller, Ben; Bryant, Robert; Glover, Jeff; Wharton, Robin	Developing Local Digital Humanities Communities: The Atlanta Studies Network	Collaboration; Mapping; 3D; Public History; Pedagogy	archaeology; archives, repositories, sustainability and preservation; historical studies; digital humanities - institutional support; teaching and pedagogy; project design, organization, management; software design and development; virtual and augmented reality; content analysis; digital humanities - facilities; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; visualisation; crowdsourcing; cultural infrastructure; maps and mapping; English
635.xml	Poster	Château-Dutier, Emmanuel; Ingarao, Maud; Magué, Jean-Philippe; Pons, Philippe; Gedzelman, Séverine; Boschetto, Sylvain; Saidi, Samantha; Beaugiraud, Valérie; Boulai, Carole; Jallud, Pierre-Yves; Morlock, Emmanuelle	Towards an XML Corpora Exposition as LOD with the Lightweight Xquery-Based Framework SynopsX	LOD; API; web semantic; publication; XML database; Xquery; BaseX	encoding - theory and practice; publishing and delivery systems; xml; digital humanities - facilities; query languages; semantic web; English
458.xml	Short Paper	Burghardt, Manuel; Lamm, Lukas; Lechler, David; Schneider, Matthias; Semmelmann, Tobias	Tool-based Identification of Melodic Patterns in MusicXML Documents	music information retrieval; melodic similarity; melodic patterns	information retrieval; music; software design and development; xml; English
705.xml	Pre-Conference Workshop and Tutorial	Webb, Sharon; Kiefer, Chris; Jackson, Ben; Eldridge, Alice; Baker, James	Music Information Retrieval Algorithms for Oral History Collections	music information retrieval	audio, video, multimedia; content analysis; folklore and oral history; English
611.xml	Short Paper	Gehrke, Stefanie	Biblissima - Following Medieval Manuscripts and Incunabula through their Existence via a Semantic Web Application	manuscripts; frbroo; semantic web; incunabula; inventories	metadata; ontologies; digitisation, resource creation, and discovery; GLAM: galleries, libraries, archives, museums; cultural infrastructure; linking and annotation; standards and interoperability; English
453.xml	Poster	Pierazzo, Elena; Fonio, Filippo; Mouraby, Claire	A new approach to libraries in the Digital Humanities: the case of “Fonte-Gaia”	Open Access; Digital Libraries; infrastructure	archives, repositories, sustainability and preservation; digital humanities - institutional support; teaching and pedagogy; italian studies; interdisciplinary collaboration; English
350.xml	Poster	Johnson, Ian R.; Osmakov, Artem	Rebuilding Digital Harlem for Sustainability and Change	sustainability; open source; database structure; public user interface; mapping; timelines	archives, repositories, sustainability and preservation; databases & dbms; historical studies; interface and user experience design; publishing and delivery systems; maps and mapping; English
615.xml	Short Paper	Perna, Stefano; Guarasci, Raffaele; Maisto, Alessandro; Vitale, Pierluigi	RAPSCAPE – un’esplorazione dell’universo linguistico del rap attraverso il text-mining e la data-visualization	text-mining; linguistics; data-visualization; music; rap	interface and user experience design; music; internet / world wide web; linguistics; visualisation; data mining / text mining; Italian
567.xml	Poster	Theibault, John Christopher	Regional Digital Humanities Consortia: An Emerging Formalization of Informal Network Ties?	Regional Digital Humanities Consortia; digital humanities infrastructure	digital humanities - institutional support; history of Humanities Computing/Digital Humanities; cultural infrastructure; English
473.xml	Short Paper	Chiarcos, Christian; Abromeit, Frank; Fäth, Christian; Ionov, Max	Etymology Meets Linked Data. A Case Study In Turkic 	etymology; dictionaries; Turkic; LLOD; Lemon	historical studies; lexicography; ontologies; knowledge representation; linguistics; query languages; linking and annotation; standards and interoperability; English; digital humanities - multilinguality
480.xml	Poster	Blessing, Andre; Kuhn, Jonas	Crosslingual Textual Emigration Analysis 	Information extraction; biographical data; NLP; crosslingual	natural language processing; text analysis; content analysis; bibliographic methods / textual studies; linking and annotation; data mining / text mining; English
201.xml	Short Paper	Piccini, Silvia; Abrate, Matteo; Bacciu, Clara; Bellandi, Andrea; Giovannetti, Emiliano; Mancini, Lorenzo; Marchetti, Andrea	When Traditional Ontologies are not Enough: Modelling and Visualizing Dynamic Ontologies in Semantic-Based Access to Texts 	Ontologies; Information Visualization; Ontologies Visualization; Dynamic Knowledge; Literary Computing	archives, repositories, sustainability and preservation; historical studies; interface and user experience design; literary studies; ontologies; knowledge representation; content analysis; bibliographic methods / textual studies; visualisation; networks, relationships, graphs; spatio-temporal modeling, analysis and visualisation; English
557.xml	Poster	Depuydt, Katrien A. C.	Diachronic Semantic Lexicon of Dutch (Diachroon semantisch lexicon van de Nederlandse Taal; DiaMaNT)	lexicograhpy; diachronic wordnet; computational semantics; Dutch	lexicography; digitisation, resource creation, and discovery; digital humanities - facilities; English
132.xml	Long Paper	Schöch, Christof; Schlör, Daniel; Popp, Stefanie; Brunner, Annelen; Henny, Ulrike; Calvo Tello, José	Straight Talk! Automatic Recognition of Direct Speech in Nineteenth-Century French Novels 	direct speech; dialogue; Random Forest; novels; literary genre	literary studies; natural language processing; text analysis; french studies; genre-specific studies: prose, poetry, drama; data mining / text mining; English
336.xml	Long Paper	Fornaro, Peter R.; Schmitt, Lothar; Bianco, Andrea; Feldmann, Heidrun	Die digitale Modellierung experimenteller Druckgrafiken des 15. Jahrhunderts. Anforderungen und Chancen computerbasierter Dokumentationsverfahren	Teigdruck; RTI; Reflexionsmodell; WebGL; VRE	image processing; visualisation; German
608.xml	Short Paper	Yang, Li; Xu, Weijia	Computation-Aided Analysis on Film Credits	film credits; large scale computation; comparative analysis; quantitative analysis; film studies	film and cinema studies; asian studies; cultural studies; English
85.xml	Short Paper	Fields, Paul J.; Bassist, Larry W.; Roper, Matthew R.	Choosing Words for Stylometric Authorship Attribution Evaluating Most Distinguishing Words (MDWs) vs. Most Frequent Words (MFWs)	Stepwise Discriminant Analysis; Most Distinguishing Words; Most Frequent Words; Power; Sensitivity	stylistics and stylometry; authorship attribution / authority; English
256.xml	Short Paper	Schomaker, Lambert; Weber, Andreas; Thijssen, Michiel; Heerlien, Maarten; Plaat, Aske; Nijssen, Siegfried; Verbeek, Fons; Lew, Michael; Gasso Miracle, Eulalia; Wolstencroft, Katy; Suyver, Ernest; Verheij, Bart; Wiering, Marco; Dekker, Rene; Kok, Joost; Roberts, Lissa; Van den Herik, Jaap	Making Sense of Illustrated Handwritten Archives	Artificial intelligence; handwriting and image recognition; history of science; machine learning; networked heritage	image processing; historical studies; information retrieval; publishing and delivery systems; GLAM: galleries, libraries, archives, museums; networks, relationships, graphs; English
146.xml	Poster	Rau, Emily J.; Kirilloff, Gabi	Mapping Imagined and Experienced Places: An Exploration of the Geography of Willa Cather’s Writing	Willa Cather; Mapping; GIS; Spatial Turn	geospatial analysis, interfaces and technology; historical studies; literary studies; text analysis; visualisation; maps and mapping; data mining / text mining; English
24.xml	Poster	Del Grosso, Angelo Mario; Albanesi, Davide; Giovannetti, Emiliano; Marchi, Simone	Defining the Core Entities of an Environment for Textual Processing in Literary Computing 	Textual Processing; Literary Computing; Object-Oriented Analysis and Design; Analysis Architectural and Design Patterns; Web infrastructure	archives, repositories, sustainability and preservation; classical studies; corpora and corpus activities; databases & dbms; encoding - theory and practice; digital humanities - institutional support; information retrieval; lexicography; literary studies; metadata; natural language processing; project design, organization, management; digitisation, resource creation, and discovery; scholarly editing; software design and development; text analysis; user studies / user needs; information architecture; philology; xml; concording and indexing; content analysis; GLAM: galleries, libraries, archives, museums; digital humanities - facilities; bibliographic methods / textual studies; linguistics; programming; cultural studies; digitisation - theory and practice; cultural infrastructure; linking and annotation; standards and interoperability; data mining / text mining; English
44.xml	Long Paper	Snickars, Pelle	SpotiBot-Turing testing Spotify	streaming music; digital methods; bots as informants; Turing test	audio, video, multimedia; media studies; English
312.xml	Long Paper	Endres, Bill; Cook, Matthew; Kurlinkus, Will	OVAL: A Virtual Ecosystem for Immersive Scholarship and Teaching	virtual reality; immersion; networked; research; teaching	virtual and augmented reality; English
20.xml	Long Paper	Giannachi, Gabriella	Performance, the Document, and the Digital: the Case of Lynn Hershman Leeson’s ‘Robertas’	document; performance; social media; ecology; museum; digital art	archives, repositories, sustainability and preservation; art history; audio, video, multimedia; GLAM: galleries, libraries, archives, museums; social media; English
153.xml	Short Paper	Escobar Varela, Miguel	Arduino Circuits and Javanese Puppets: ‘Re-materializing’ Digital Archives through Tangible Interfaces	open hardware; interaction design; theatre; Indonesia; tangible media	archives, repositories, sustainability and preservation; audio, video, multimedia; interface and user experience design; asian studies; creative and performing arts, including writing; English
280.xml	Short Paper	Egloff, Mattia; Picca, Davide; Curran, Kevin	How IBM Watson Can Help Us Understand Character in Shakespeare: A Cognitive Computing Approach to the Plays. 	cognitive computing; IBM Watson; personality; Shakespeare; main characters	digital humanities - nature and significance; literary studies; content analysis; creative and performing arts, including writing; english studies; English
177.xml	Short Paper	Ikkala, Esko; Tuominen, Jouni; Hyvönen, Eero	Contextualizing Historical Places in a Gazetteer by Using Historical Maps and Linked Data 	ontology service; gazetteer; historical places; historical maps; crowdsourcing	archives, repositories, sustainability and preservation; digital humanities - institutional support; information retrieval; interface and user experience design; metadata; data modeling and architecture including hypothesis-driven modeling; ontologies; digitisation, resource creation, and discovery; software design and development; GLAM: galleries, libraries, archives, museums; digital humanities - facilities; visualisation; crowdsourcing; semantic web; maps and mapping; spatio-temporal modeling, analysis and visualisation; standards and interoperability; English
105.xml	Long Paper	Schreibman, Susan; Buckley, John; Hughes, Brian; Papadopoulos, Constantinos	The Computer Graphic Simulation of the Battle at Mount Street Bridge. Problems, Perspectives, and Challenges	computer graphic simulation; historical research; Unity; Annotations; knowledge production	historical studies; interface and user experience design; knowledge representation; interdisciplinary collaboration; visualisation; agent modeling and simulation; English
712.xml	Pre-Conference Workshop and Tutorial	Fokkens, Antske; Wandl-Vogt, Eveline; Declerck, Thierry; ter Braake, Serge; Hyvönen, Eero; Bosse, Arno; McGillivray, Barbara	Biographical Data Workshop: modeling, sharing and analyzing people’s lives 	biographical data; prosopographical models; digital history; semantic web; international collaboration	archives, repositories, sustainability and preservation; historical studies; data modeling and architecture including hypothesis-driven modeling; history of Humanities Computing/Digital Humanities; semantic web; linking and annotation; data mining / text mining; English
466.xml	Poster	Sichani, Anna-Maria; Kelly, Aodhán	You Better Monetize! Monetization Strategies in Publishing and Disseminating Digital Scholarly ditions	Digital Scholarly Editing; sustainability; monetization strategies	archives, repositories, sustainability and preservation; project design, organization, management; publishing and delivery systems; digital humanities - facilities; English
120.xml	Poster	Czeitschner, Ulrike	Discursive Constructions Of Culture: A Semantic Model For Historical Travel Guides.	discourse analysis; semantic modelling; SKOS; historical travel guides	historical studies; literary studies; digitisation, resource creation, and discovery; semantic analysis; text analysis; knowledge representation; xml; content analysis; linguistics; genre-specific studies: prose, poetry, drama; cultural studies; german studies; anthropology; linking and annotation; English; digital humanities - diversity
535.xml	Poster	Reimers, Nils; Jannidis, Fotis; Pernes, Stefan; Pielström, Steffen; Reger, Isabella; Vitt, Thorsten	A Tool for NLP-Preprocessing in Literary Text Analysis	NLP pipeline; user friendliness; DKPro	natural language processing; English
683.xml	Long Paper	Audenaert, Michael Neal; Barry, Matthew; Bilnoski, Paul	vWise: Visual Workspace for Information Seeking and Exploration	visualisation; virtual research environment	visualisation; social media; English
168.xml	Long Paper	Jones, Catherine Emma	Exploring and Evaluating Cartographic (miss)Representation in a Sample of Web-based Geohumanities Projects	GeoHumanities; Cartographic Representation; Systematic Evaluation; Web-mapping; Cartography	geospatial analysis, interfaces and technology; maps and mapping; English
83.xml	Short Paper	Crowley, Ronan; Mihály Tóth, Gábor	Mining Leitmotif in James Joyce’s ‘Ulysses’	text mining; literary studies; James Joyce; Ulysses; leitmotif	literary studies; text analysis; english studies; data mining / text mining; English
422.xml	Poster	Höhn, Winfried; Schommer, Christoph	Annotating and Georeferencing of Digitized Early Maps	Annotation; Georeferencing; Early Maps	image processing; digitisation, resource creation, and discovery; content analysis; maps and mapping; English
732.xml	Pre-Conference Workshop and Tutorial	Potvin, Sarah; Ortega, Élika; Galina, Isabel; Gil, Alex; O'Donnell, Daniel Paul; Williams, Patrick; Borovsky, Zoe; Shirazi, Roxanne; Coble, Zach; Worthey, Glen	Translation Hack-a-thon!: Applying the Translation Toolkit to a Global dh+lib	multilingual translation; scholarly communication; workflows & processes; libraries	multilingual / multicultural approaches; project design, organization, management; publishing and delivery systems; digitisation, resource creation, and discovery; GLAM: galleries, libraries, archives, museums; machine translation; translation studies; crowdsourcing; cultural infrastructure; English; digital humanities - diversity; digital humanities - multilinguality
128.xml	Poster	Saito, Shinya; Suzuki, Keiko	Development of a Support Tool for Categorizing Ukiyo-e’s Pictorial Themes: A System to Deal with Visual Features and Similarities	Data-visualization; Ukiyo-e; infographics; visual features; similarity	metadata; semantic analysis; programming; visualisation; English
251.xml	Long Paper	Zijdeman, Richard; Stapel, Rombert	Work In A Globalised World. Allocation Algorithm To Add Labour Relations To Digitised Census Data	allocation algorithm; labour history; inequality; global history; microlevel data	databases & dbms; historical studies; other; linking and annotation; English
564.xml	Poster	Hodel, Tobias	Abbreviations In Manuscripts – Systematization And Crowdsourcing By Ad Fontes	crowdsourcing; abbreviation; manuscript; handwritten	historical studies; medieval studies; digitisation, resource creation, and discovery; scholarly editing; crowdsourcing; cultural infrastructure; English
75.xml	Poster	Skolimowska, Anna	Corpus of Ioannes Dantiscus’ Texts and Correspondence dantiscus.al.uw.edu.pl	Dantiscus; Renaissance; digital edition; correspondence	classical studies; corpora and corpus activities; historical studies; literary studies; scholarly editing; renaissance studies; English
46.xml	Long Paper	REBOUL, Marianne; BIZZONI, Yuri	Projet Odysseus, Outil d’Etudes Comparatives Du Traductologue 	translation; alignment; comparative studies; semantics; visualisation	classical studies; corpora and corpus activities; digital humanities - institutional support; information retrieval; teaching and pedagogy; literary studies; multilingual / multicultural approaches; natural language processing; digitisation, resource creation, and discovery; semantic analysis; stylistics and stylometry; text analysis; french studies; machine translation; translation studies; visualisation; data mining / text mining; French; digital humanities - multilinguality
104.xml	Poster	Franzini, Greta; Franzini, Emily; Rotari, Gabriela; Pannach, Franziska; Solhdoust, Mahdi; Büchler, Marco	The digital breadcrumb trail of Brothers Grimm	folklore; text reuse; multilingualism; fairy tale; index	corpora and corpus activities; historical studies; literary studies; natural language processing; digitisation, resource creation, and discovery; text analysis; philology; concording and indexing; bibliographic methods / textual studies; cultural studies; german studies; folklore and oral history; linking and annotation; data mining / text mining; English; digital humanities - multilinguality
373.xml	Long Paper	Musgrave, Simon; Thieberger, Nick	If You Build It Will They Come? Digital Infrastructure And Disciplinary Practice In Language Documentation	language documentation; digital infrastructrure; archiving; scholarly practice	archives, repositories, sustainability and preservation; corpora and corpus activities; digital humanities - facilities; linguistics; English
733.xml	Pre-Conference Workshop and Tutorial	Jacomy, Mathieu; Girard, Paul; Ooghe-Tabanou, Benjamin	Web Communities Mapping With Hyphe How to use a curation-oriented web crawler to map communities? 	web mining; digital methods; online communities; network; crawler	corpora and corpus activities; internet / world wide web; hypertext; networks, relationships, graphs; media studies; data mining / text mining; English
15.xml	Short Paper	Scheuermann, Leif; Jantke, Klaus P.; Scheuermann, Walter	Erlebter Raum im Rom der späten Republik - eine digitale Forschungsumgebung	Virtual research environments; GIS; spatial analysis; Rome; Cicero	classical studies; databases & dbms; geospatial analysis, interfaces and technology; metadata; knowledge representation; maps and mapping; spatio-temporal modeling, analysis and visualisation; German
345.xml	Short Paper	Cheng, Jonathan Yu; Kirilloff, Gabrielle	Who’s Doing What?: Examining The Relationships Among Subjectivity, Agency, and Syntax In The 19th Century Novel	Novel; Gender; Agency; 19th Century; Text Analysis	gender studies; literary studies; text analysis; genre-specific studies: prose, poetry, drama; English
148.xml	Long Paper	Craig, Hugh	Frequency and Meaning	computational stylistics; formalism; function words	literary studies; text analysis; English
629.xml	Short Paper	Houston, Natalie M.	Exploring the Rules of Rhyme: Operationalizing Historical Poetics	poetry; rhyme; dictionary; poetics	literary studies; text analysis; genre-specific studies: prose, poetry, drama; english studies; English
224.xml	Poster	Ochab, Jeremi K.	Time Series Analysis Enhances Authorship Attribution	time series analysis; long-range memory; authorship attribution; machine learning; feature selection	information retrieval; natural language processing; semantic analysis; stylistics and stylometry; text analysis; authorship attribution / authority; interdisciplinary collaboration; linguistics; machine translation; english studies; networks, relationships, graphs; spatio-temporal modeling, analysis and visualisation; data mining / text mining; English
273.xml	Short Paper	Kizhner, Inna; Terras, Melissa; Rumyantsev, Maxim	Museum Digitization Practices Across Russia: Survey and Web Site Exploration Results	Russian museums; digitization practice; survey	digitisation - theory and practice; English
313.xml	Short Paper	Conroy, Nathaniel Allen	Metacanon.org: Digital Humanities and the Canon	Canon; Cultural Capital; Lists; Canons; Canonicity	corpora and corpus activities; databases & dbms; literary studies; metadata; other; concording and indexing; digital humanities - pedagogy and curriculum; english studies; data mining / text mining; English
371.xml	Short Paper	Verhoeven, Deb; Coate, Bronwyn; Arrowsmith, Colin; Palmer, Stuart	Using Big Cultural Data To Understand Diversity And Reciprocity In The Global Flow Of Contemporary Cinema	big cultural data; cinema studies; film industry; dyadic relationships; relational geographies	film and cinema studies; networks, relationships, graphs; media studies; English
646.xml	Panel / Multiple Paper Session	Bazarnik, Katarzyna; Inman Berens, Kathi; Fajfer, Zenon; Garfinkel, Susan	Playable Books at Electronic Literature’s Interface	ergodic; interface; e-literature; book_studies; book_materiality	audio, video, multimedia; interface and user experience design; literary studies; multilingual / multicultural approaches; games and meaningful play; hypertext; interdisciplinary collaboration; creative and performing arts, including writing; social media; media studies; English; digital humanities - diversity; digital humanities - multilinguality
106.xml	Poster	Zhitomirsky-Geffet, Maayan; Prebor, GIla; Feigenboim, AmichaI	Towards a Cross-generation Social Network for Jewish Sages	Social network; Jewish sages; Prosopography; Digital humanities	historical studies; networks, relationships, graphs; English
263.xml	Long Paper	Nagasaki, Kiyonori; Tomabechi, Toru; Muller, Charles; Shimoda, Masahiro	Digital Humanities in Cultural Areas Using Texts That Lack Word Spacing	word segmentation	asian studies; digitisation - theory and practice; English; digital humanities - diversity; digital humanities - multilinguality
674.xml	Short Paper	Shrout, Anelise Hanson	Digital History “From Below”: a Call to Action	marginalized; non-elites; history	historical studies; cultural studies; history of Humanities Computing/Digital Humanities; English; digital humanities - diversity
515.xml	Long Paper	Kestemont, Mike; Stover, Justin; Koppel, Moshe; Karsdorp, Folgert; Daelemans, Walter	Authorship Verification with the Ruzicka Metric	stylometry; authorship verification; classical antiquity; julius caesar	classical studies; natural language processing; stylistics and stylometry; text analysis; authorship attribution / authority; English
241.xml	Short Paper	Hyvönen, Eero; Heino, Erkki; Leskinen, Petri; Ikkala, Esko; Koho, Mikko; Tamper, Minna; Tuominen, Jouni; Mäkelä, Eetu	Publishing Second World War History as Linked Data Events on the Semantic Web	semantic web; war history; linked data; data service; semantic portal	databases & dbms; geospatial analysis, interfaces and technology; metadata; semantic analysis; knowledge representation; internet / world wide web; programming; visualisation; semantic web; English
302.xml	Short Paper	Hołobut, Agata; Rybicki, Jan; Woźniak, Monika	Stylometry on the Silver Screen: Authorial and Translatorial Signals in Film Dialogue	film subtitles; dubbing; voice-over; stylometry; translation	film and cinema studies; multilingual / multicultural approaches; stylistics and stylometry; authorship attribution / authority; translation studies; English
176.xml	Long Paper	Berti, Monica; Daniels, Mary; Strickland, Samantha; Vincent-Dobbins, Kimbell	Modelling Taxonomies of Text Reuse in the Deipnosophists of Athenaeus of Naucratis: Declarative Digital Scholarship	CTS; CITE; Fragmentary Authors; Homer Multitext; Text reuse	classical studies; information retrieval; metadata; data modeling and architecture including hypothesis-driven modeling; scholarly editing; text analysis; authorship attribution / authority; concording and indexing; bibliographic methods / textual studies; English
566.xml	Poster	Farrar, Danielle Marie	The Corpus of Revenge Tragedy (CoRT): Toward Interdisciplining Early Modern Digital Humanities and Genre Analysis	Early Modern Drama; Revenge Tragedy; Digital Humanities; Data Mining; Genre Analysis	corpora and corpus activities; literary studies; text analysis; interdisciplinary collaboration; genre-specific studies: prose, poetry, drama; english studies; cultural studies; maps and mapping; data mining / text mining; English
101.xml	Long Paper	Riguet, Marine; Mpouli, Suzanne	À la Croisée des Discours Littéraire et Scientifique : La Comparaison comme Haute Figure Dialogique	critique littéraire; sciences exactes; comparaison; dialogue; analogie	corpora and corpus activities; literary studies; text analysis; interdisciplinary collaboration; French; rhetorical studies
344.xml	Panel / Multiple Paper Session	Casarosa, Vittore; Ross, Seamus; Tammaro, Anna Maria	Are the Digital Humanists Prepared for Open Access to Research Data ?	open access; research data; scholarly dissemination; science 2.0	archives, repositories, sustainability and preservation; digital humanities - institutional support; copyright, licensing, and Open Access; cultural infrastructure; English; digital humanities - diversity
631.xml	Short Paper	LaFave, Nathan	Language Attitudes of Twitter Users Toward New York City English	language attitudes; New York City English; Twitter; text mining; text analysis	corpora and corpus activities; text analysis; linguistics; social media; data mining / text mining; English
68.xml	Poster	Safaryan, Anahit; Kaufmann, Sascha; Andrews, Tara Lee	Critical Edition as Graph: The Chronicle of Matthew of Edessa Online	digital edition; graph database; armenian studies; data modeling	historical studies; medieval studies; data modeling and architecture including hypothesis-driven modeling; scholarly editing; near eastern studies; philology; visualisation; networks, relationships, graphs; linking and annotation; English
