	authors	category	filename	keywords	subcategory	title	topics
10	Uesaka, Ayaka; Murakami, Masakatsu	Paper	UESAKA_Ayaka_A_Quantitative_Analysis_for_the_Authorship.xml	Authorship problem; Japanese early modern literatures; Saikaku Ihara; Dansui Houjyou; Principal component analysis	Short Paper	A Quantitative Analysis for the Authorship of Saikaku’s Posthumous Works Compared with Dansui’s works	authorship attribution / authority; data mining / text mining; English
11	Huang, Jheng-Peng; Liu, Hao-Syong; Liao, Hsiung-Ming; Chuang, Tyng-Ruey	Paper	HUANG_Jheng_Peng_Old_Traces__New_Links__Representation_.xml	digital reproduction; digital representation; interactive historical map; digital archive; OpenStreetMap	Long Paper	Old Traces, New Links: Representation of Taiwan Baotu in OpenStreetMap	archives; repositories; sustainability and preservation; geospatial analysis; interfaces and technology; historical studies; data modeling and architecture including hypothesis-driven modeling; digitisation; resource creation; and discovery; software design and development; knowledge representation; programming; cultural studies; visualisation; copyright; licensing; and Open Access; history of Humanities Computing/Digital Humanities; maps and mapping; English
12	Pöckelmann, Marcus; Medek, André; Molitor, Paul; Ritter, Jörg	Paper	P_CKELMANN_Marcus__CATview____Supporting_The_Investigat.xml	visualization; alignment; collation; text genesis; text evolution	Long Paper	_CATview_ - Supporting The Investigation Of Text Genesis Of Large Manuscripts By An Overall Interactive Visualization Tool	information retrieval; interface and user experience design; scholarly editing; text analysis; french studies; internet / world wide web; content analysis; programming; visualisation; data mining / text mining; English
13	Falk, Michael Gregory	Paper	FALK_Michael_Gregory_Modelling_Genre_Using_Character_Ne.xml	Maria Edgeworth; network analysis; genre; novel; romanticism	Poster	Modelling Genre Using Character Networks: The National Tales and Domestic Novels of Maria Edgeworth	literary studies; networks; relationships; graphs; English
14	Cummings, James C.	Paper	CUMMINGS_James_C__TEI_HackAThon__Building_Tools_for_TEI.xml	TEI; hacking; text analysis; encoding	Pre-Conference Workshop and Tutorial (Round 2)	TEI HackAThon: Building Tools for TEI Collections	encoding - theory and practice; information retrieval; software design and development; text analysis; xml; standards and interoperability; English
15	Hutchinson, Jonathon; Hammond, Jeremy; Martin, Fiona; Yazbek, Daniel	Paper	HAMMOND_Jeremy_Social_Media_Data__Twitter_Scraping_on_N.xml	big data; Social Media Network Analysis; cloud compute; twitter; online communities	Long Paper	Social Media Data: Twitter Scraping on NeCTAR	corpora and corpus activities; internet / world wide web; digital humanities - facilities; interdisciplinary collaboration; visualisation; social media; networks; relationships; graphs; media studies; data mining / text mining; English
16	O'Sullivan, James Christopher; Hswe, Patricia; Long, Christopher P.	Paper	O_SULLIVAN_James_Christopher_Nocht__An_Open_Source_Tool.xml	Tools; Text Analysis; Python; Digital Literary Studies	Short Paper	Nocht: An Open Source Tool for Text Analysis	software design and development; text analysis; English
17	Cavinato, Alessandro; Geissmann, Beat; Vandevelde, Konrad Robert; Dalang, Olivier; Rodighiero, Dario	Paper	CAVINATO_Alessandro_A_3D_Model_Of_The_Venetian_Galeazza.xml	3D modeling; CAD; Galeazza; Render; Venice	Poster	A 3D Model Of The Venetian Galeazza	data modeling and architecture including hypothesis-driven modeling; digitisation; resource creation; and discovery; virtual and augmented reality; knowledge representation; visualisation; English
18	Skorinkin, Daniil; Bonch-Osmolovskaya, Anastasia	Paper	SKORINKIN_Daniil_Automatic_semantic_tagging_of_Leo_Tols.xml	text mining; nlp; information extraction; named entity recognition; fact extraction; RDF; ontology engineering; TEI	Short Paper	Automatic semantic tagging of Leo Tolstoy’s works	literary studies; natural language processing; ontologies; digitisation; resource creation; and discovery; semantic analysis; text analysis; xml; linking and annotation; data mining / text mining; English
19	GOTO, Makoto; NAITO, Motomu	Paper	GOTO_Makoto_Digitalization_of_Shoso_in_Monjo_and_Extrac.xml	Japanese History; Topic Maps; Onotlogy; Historical Text	Short Paper	Digitalization of Shoso-in Monjo and Extraction of Knowledge	historical studies; ontologies; knowledge representation; asian studies; English
20	Ortega, Elika; Gil, Alex; O'Donnell, Daniel Paul	Paper	ORTEGA_Elika_Psst__An_informal_approach_to_expanding_th.xml	go::dh; multilingualism; whispering; translation; best practices	Long Paper	Psst! An informal approach to expanding the linguistic range of the Digital Humanities.	digital humanities - nature and significance; translation studies; English
21	Craig, Hugh	Paper	CRAIG_Hugh_A_Computational_Bibliography_Of_Two_Plays_Fr.xml	computational stylistics; Shakespeare; bibliogrpahy; chronology	Long Paper	A Computational Bibliography Of Two Plays From The Shakespeare Folio	literary studies; scholarly editing; stylistics and stylometry; text analysis; authorship attribution / authority; bibliographic methods / textual studies; english studies; renaissance studies; English
22	Siemens, Lynne	Paper	SIEMENS_Lynne_Introduction_to_Starting_and_Sustaining_D.xml	DH centres; research centres; collaboration; interdisciplinary	Pre-Conference Workshop and Tutorial (Round 2)	Introduction to Starting and Sustaining DH Centers	digital humanities - institutional support; project design; organization; management; digital humanities - facilities; interdisciplinary collaboration; English
23	Gallagher, Rob; Roach, Rebecca; Apperley, Thomas	Paper	GALLAGHER_Rob_Black_Boxed_Selves.xml	surveillance; life writing; gaming; online culture	Panel / Multiple Paper Session	Black Boxed Selves	audio; video; multimedia; literary studies; metadata; philosophy; internet / world wide web; games and meaningful play; cultural studies; social media; media studies; English
24	Spiro, Lisa; Cawthorne, Jon; Lewis, Vivian; Wang, Xuemao; Fraistat, Neil; Hsiang, Jieh; Siemens, Ray; Ma, Feicheng; Spence, Paul	Paper	SPIRO_Lisa_Global_Perspectives_on_Digital_Humanities_Ex.xml	global digital humanities; skills and competencies; training and education; collaboration; benchmarking	Panel / Multiple Paper Session	Global Perspectives on Digital Humanities Expertise	digital humanities - nature and significance; digital humanities - institutional support; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; English
25	Corne, Emmanuelle; Gremillet, Anne-Solweig; Contat, Odile	Paper	GREMILLET_Anne_Solweig_Publish__Whatever_The_Price__A_F.xml	cost; public academic edition; non-profit publishing; DH infrastructures; journals	Short Paper	Publish: Whatever The Price? A French Study On Structuration Of Costs During Publishing Process In Digital Humanities	digital humanities - institutional support; digital humanities - facilities; French
26	Bhattacharyya, Sayan; Downie, J. Stephen	Paper	BHATTACHARYYA_Sayan_Approaching_Textuality_with_the_Met.xml	epistemology; textuality; formalism; anthologies; editorial theory; editorial process	Short Paper	Approaching Textuality with the Metaphor of the Digitized Workset	corpora and corpus activities; digital humanities - nature and significance; literary studies; philosophy; philology; GLAM: galleries; libraries; archives; museums; morphology; cultural studies; folklore and oral history; English
27	Birnbaum, David J; Thorsen, Elise; del Rio Riande, Gimena; Martínez Cantón, Clara; González Blanco-García, Elena; Pue, A. Sean; Teal, Tracy K; Brown, C. Titus	Paper	BIRNBAUM_David_J_New_Developments_in_Quantitative_Metri.xml	meter poetics rhyme verse poetry	Panel / Multiple Paper Session	New Developments in Quantitative Metrics	literary studies; prosodic studies; English
28	Almas, Bridget; Beaulieu, Marie-Claire; Höflechner, Gernot	Paper	ALMAS_Bridget_May_Perseids_And_Arethusa__Building_Tools.xml	collaboration; pedagogy; annotation; software methodology; close reading	Long Paper	Perseids And Arethusa: Building Tools That Build Digital Humanists	digital humanities - nature and significance; teaching and pedagogy; software design and development; philology; digital humanities - pedagogy and curriculum; English
29	Patton, Maggie; Neville, Richard; Wajon, Scott	Paper	FRANKS_Rachel_Why_Can_t_You_Just_Whack_it_on_the_Photoc.xml	Digitisation; Cultural Heritage; Galleries; Libraries; Archives and Museums	Pre-Conference Workshop and Tutorial (Round 2)	Why Can’t You Just Whack it on the Photocopier? : a workshop on the digitisation of heritage collections in large collecting institutions	archives; repositories; sustainability and preservation; digitisation; resource creation; and discovery; English
30	Bradley, John	Paper	BRADLEY_John_How_about_Tools_for_the_whole_range_of_sch.xml	digital tools in the humanities; user experience; tools for cognition	Long Paper	How about Tools for the whole range of scholarly activities?	digital humanities - nature and significance; interface and user experience design; software design and development; user studies / user needs; other; English
31	Algee-Hewitt, Bridget Frances Beatrice; Algee-Hewitt, Mark Andrew	Paper	ALGEE_HEWITT_Mark_Andrew_The_Unspoken_Word__Race_and_th.xml	race concept; anthropology; human variation; discourse analysis; text mining	Long Paper	The Unspoken Word: Race and the New Language of Identity	corpora and corpus activities; text analysis; interdisciplinary collaboration; anthropology; data mining / text mining; English
32	Towsey, Mark R.M.; Bode, Katherine; Burrows, Simon; Lamond, Julieanne; Reid, Mark; Roe, Glenn; Shep, Sydney	Paper	TOWSEY_Mark_R_M__Remapping_Cultural_History__Digital_Hu.xml	Book History; Digital Humanities; Library History; Newspapers; History of Reading	Panel / Multiple Paper Session	Remapping Cultural History? Digital Humanities, Historical Bibliometrics, and the Reception of Print Culture	historical studies; literary studies; bibliographic methods / textual studies; interdisciplinary collaboration; english studies; English
33	Brown, Susan; Antoniuk, Jeffery; Brundin, Michael; Simpson, John; Ilovan, Mihaela; Warren, Robert	Paper	BROWN_Susan_An_entity_based_approach_to_interoperabilit.xml	interoperability; linked data; semantic web; entities	Long Paper	An entity-based approach to interoperability in the Canadian Writing Research Collaboratory	metadata; ontologies; semantic web; networks; relationships; graphs; linking and annotation; standards and interoperability; English
34	Ray Murray, Padmini; Mukherjee, Souvik	Paper	RAY_MURRAY_Padmini_Press_F6_to_Reload__Games_Studies_an.xml	South Asia; India; videogames	Short Paper	Press F6 to Reload: Games Studies and the future of the Digital Humanities in India	digital humanities - nature and significance; interface and user experience design; other; games and meaningful play; cultural studies; English
35	Borovsky, Zoe; Courtney, Angela; Galina, Isabel; Gehrke, Stefanie; Stensrud Høsøien, Hege; Potvin, Sarah; Stäcker, Thomas; Worthey, Glen	Paper	BOROVSKY_Zoe_Libraries_and_Digital_Humanities_Special_I.xml	Libraries; Digital Libraries; Librarians	Poster	Libraries and Digital Humanities Special Interest Group	digital humanities - institutional support; GLAM: galleries; libraries; archives; museums; English
36	Peter, Cornwell; Granville, Dan; Eveleigh, Alexandra; Decker, Eric; Henriot, Christian	Paper	EVELEIGH_Alexandra_Improving_Compliance_With_Evolving_S.xml	annotation; collections transformation; sustainability	Long Paper	Improving Compliance With Evolving Standards Using Computed Transformation of Digital Collections	archives; repositories; sustainability and preservation; databases & dbms; metadata; asian studies; xml; cultural infrastructure; linking and annotation; standards and interoperability; English
37	Panckhurst, Rachel	Paper	PANCKHURST_Rachel__88milSMS___A_New_Digital_Corpus_Reso.xml	SMS; French text messages; digital corpus resource; authentic data; mediated electronic discourse.	Long Paper	'88milSMS', A New Digital Corpus Resource Of French Text Messages: Why We Chose To Exclude Full Transcoding And Standardised Tagging.	corpora and corpus activities; natural language processing; text analysis; french studies; interdisciplinary collaboration; linguistics; English
38	Christian-Lamb, Caitlin	Paper	CHRISTIAN_LAMB_Caitlin_Collaborative__Speculative_Techn.xml	mobile libraries; community-building; digital humanities pedagogy; collaborative projects; GLAM	Poster	Collaborative, Speculative Technologically-Enhanced Mobile Libraries, Or How Davidson College Students Learned to Stop Worrying and Love The Library	archives; repositories; sustainability and preservation; teaching and pedagogy; GLAM: galleries; libraries; archives; museums; digital humanities - pedagogy and curriculum; mobile applications and mobile design; English
39	McCrabb, Ian	Paper	MCCRABB_Ian_Entity_Relationship_Model_for_READ.xml	data model; philology; entity model; system design; workbench	Short Paper	Entity Relationship Model for READ	corpora and corpus activities; databases & dbms; metadata; data modeling and architecture including hypothesis-driven modeling; ontologies; publishing and delivery systems; software design and development; text analysis; asian studies; philology; bibliographic methods / textual studies; translation studies; English
40	Jänicke, Stefan; Geßner, Annette	Paper	J_NICKE_Stefan_A_Distant_Reading_Visualization_for_Vari.xml	Variant Graph; Distant Reading; Bible Visualization	Long Paper	A Distant Reading Visualization for Variant Graphs	text analysis; visualisation; networks; relationships; graphs; English
41	Bonch-Osmolovskaya, Anastasia	Paper	BONCH_OSMOLOVSKAYA_Anastasia_Medium_data_method_for_cul.xml	dataset corpus cultural studies culturomics	Long Paper	Medium data method for cultural studies: the case of gender studies in Russian National Corpus.	corpora and corpus activities; lexicography; cultural studies; data mining / text mining; English
42	Travis, Charles Bartlett	Paper	TRAVIS_Charles_Bartlett_A_Digital_Humanities_GIS_Ontolo.xml	GIS; Ulysses; social media; literature; history.	Long Paper	"A Digital Humanities GIS Ontology: Tweetflickertubing James Joyce’s ""Ulysses"" (1922)"	databases & dbms; geospatial analysis; interfaces and technology; historical studies; interface and user experience design; literary studies; data modeling and architecture including hypothesis-driven modeling; ontologies; text analysis; text generation; virtual and augmented reality; internet / world wide web; content analysis; bibliographic methods / textual studies; interdisciplinary collaboration; cultural studies; visualisation; social media; crowdsourcing; mobile applications and mobile design; maps and mapping; spatio-temporal modeling; analysis and visualisation; agent modeling and simulation; media studies; data mining / text mining; English
43	Hendery, Rachel Marion; Magee, Liam	Paper	HENDERY_Rachel_Marion_Geo_Language_Games__An_Agent_Base.xml	language change; agent based modelling; simulation; linguistic diversity; mapping	Long Paper	Geo-Language Games: An Agent-Based Model of the Role of Terrain in Language Diversity	linguistics; visualisation; anthropology; agent modeling and simulation; English
44	Barnett, Tully	Paper	BARNETT_Tully_Traces_of_Lives_in_Digital_Archives__Life.xml	book digitisation; digital reading; marginalia	Long Paper	Traces of Lives in Digital Archives: Life Writing, Marginalia and Google Books	archives; repositories; sustainability and preservation; literary studies; digitisation - theory and practice; English
45	Howe, Tonya	Paper	HOWE_Tonya_Novels_in_Context__A_TEI_Database_of_Primary.xml	TEI; eXist-db; student-faculty research; open access	Poster	Novels in Context: A TEI Database of Primary Resources for Teachers, Students, and Scholars	archives; repositories; sustainability and preservation; databases & dbms; xml; digital humanities - pedagogy and curriculum; copyright; licensing; and Open Access; English
46	James, Rhian; McCann, Paul	Paper	JAMES_Rhian_Beyond_the_Library_Walls__The_National_Libr.xml	Collaboration; Interdisciplinary; Co-creation; Re-purposing content; Cultural heritage	Long Paper	Beyond the Library Walls: The National Library of Wales Research Programme in Digital Collections	archives; repositories; sustainability and preservation; information retrieval; digitisation; resource creation; and discovery; GLAM: galleries; libraries; archives; museums; interdisciplinary collaboration; cultural studies; English
47	Algee-Hewitt, Mark Andrew	Paper	ALGEE_HEWITT_Mark_Andrew_Discourse__Design_and_Disorder.xml	quantitative anlysis; information theory; redundancy; literary theory	Long Paper	Discourse, Design and Disorder: Digital Models for an Aesthetic Literary Theory	corpora and corpus activities; literary studies; text analysis; bibliographic methods / textual studies; english studies; data mining / text mining; English
48	Hodošček, Bor	Paper	HODO__EK_Bor_Visualizing_Japanese_Language_Change_Durin.xml	diachronic corpus; Japanese language change; genre; register; cooccurrence networks	Poster	Visualizing Japanese Language Change During the Past Century	corpora and corpus activities; metadata; stylistics and stylometry; linguistics; genre-specific studies: prose; poetry; drama; networks; relationships; graphs; data mining / text mining; English
49	Champion, Erik Malcolm	Paper	CHAMPION_Erik_Malcolm_Infrastructure_Requirements_For_A.xml	world heritage sites; 3D; infrastructure	Long Paper	Infrastructure Requirements For A UNESCO World Heritage Archival Infrastructure	archaeology; archives; repositories; sustainability and preservation; art history; geospatial analysis; interfaces and technology; GLAM: galleries; libraries; archives; museums; digital humanities - facilities; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; English
50	Wilson, Emma Annette	Paper	WILSON_Emma_Annette_Building_The_Early_Modern_Digital_U.xml	network analysis; visualization	Short Paper	Building The Early Modern Digital University: Using Social Network Analysis and Digital Visualization Tools To Bring The Early Modern Network Of Networks (EMNON) To Life	historical studies; literary studies; philosophy; renaissance studies; visualisation; maps and mapping; networks; relationships; graphs; English
51	Seberger, John	Paper	SEBERGER_John_How_Long_Is_Now__The__Digital__in_DH.xml	knowledge production; Derrida; representationalism; distant reading	Long Paper	How Long Is Now? The 'Digital' in DH	digital humanities - nature and significance; English
52	Heße, Sascha; Einicke, Katrin; Ritter, Jörg	Paper	HESSE_Sascha_An_Efficient_Collaborative_Web_based_Worki.xml	Sanskrit; dictionary; working environment; input form; lemma	Long Paper	An Efficient Collaborative Web-based Working Environment For The Creation Of A Digital Sanskrit Dictionary	databases & dbms; interface and user experience design; lexicography; project design; organization; management; asian studies; internet / world wide web; interdisciplinary collaboration; English
53	Kuhn, Jonas; Reiter, Nils	Paper	KUHN_Jonas_A_plea_for_a_method_driven_agenda_in_the_Dig.xml	methodology	Long Paper	A plea for a method-driven agenda in the Digital Humanities	digital humanities - nature and significance; English
54	Jähnichen, Patrick; Österling, Patrick; Liebmann, Tom; Heyer, Gerhard; Kuras, Christoph; Scheuermann, Gerik	Paper	J_HNICHEN_Patrick_Exploratory_Search_Through_Interactiv.xml	text visualization; topic models; corpus analysis; graphical user interface	Long Paper	Exploratory Search Through Interactive Visualization of Topic Models	natural language processing; semantic analysis; content analysis; interdisciplinary collaboration; visualisation; data mining / text mining; English
55	Schmidt, Benjamin	Paper	SCHMIDT_Benjamin_Data_Revisualization_as_Critical_Human.xml	Data Visualization; United States History; Humanities Data Analysis	Long Paper	Data Revisualization as Critical Humanities Practice: Reinterpreting 19th Century Data with Modern Tools	historical studies; visualisation; maps and mapping; English
56	Warren, Robert	Paper	WARREN_Robert_Language__Cultural_Influences_and_Intelli.xml	Linked geo data; war mapping; Great War	Long Paper	Language, Cultural Influences and Intelligence in Historical Gazetteers of the Great War	archives; repositories; sustainability and preservation; encoding - theory and practice; geospatial analysis; interfaces and technology; data modeling and architecture including hypothesis-driven modeling; semantic web; maps and mapping; data mining / text mining; English
57	Kimura, Taisuke; Batjargal, Biligsaikhan; Kimura, Fuminori; Maeda, Akira	Paper	BATJARGAL_Biligsaikhan_Finding_the_Same_Artworks_from_M.xml	multilingual record linkage; Japanese arts; Ukiyo-e; GLAM	Poster	Finding the Same Artworks from Multiple Databases in Different Languages	databases & dbms; metadata; multilingual / multicultural approaches; GLAM: galleries; libraries; archives; museums; English
58	Kuboi, Toshihiro; Khosmood, Foaad	Paper	KHOSMOOD_Foaad_Element_Detection_in_Japanese_Comic_Book.xml	element detection; comic books; image processing; translation	Long Paper	Element Detection in Japanese Comic Book Panels	image processing; information retrieval; asian studies; translation studies; data mining / text mining; English
59	Kuttainen, Victoria; Liebich, Susann; Galletly, Sarah	Paper	GALLETLY_Sarah_The_Transported_Imagination__Magazines__.xml	Australian Magazines; Pacific; Travel; Spatial Analysis; Network Visualisation	Poster	The Transported Imagination: Magazines, Travel And The Pacific 1920s-30s	literary studies; content analysis; bibliographic methods / textual studies; english studies; cultural studies; visualisation; maps and mapping; networks; relationships; graphs; media studies; English
60	THOMSON, ALISTAIR; BELL, JOHNNY	Paper	THOMSON_ALISTAIR_Making_Digital_Histories__Developing_S.xml	digital history; digital storytelling; museums; teaching history	Long Paper	Making Digital Histories: Developing Students as Historians	audio; video; multimedia; historical studies; teaching and pedagogy; GLAM: galleries; libraries; archives; museums; folklore and oral history; English
61	Eder, Maciej	Paper	EDER_Maciej_Taking_Stylometry_to_the_Limits__Benchmark_.xml	authorship attribution; benchmark; Patrologia Latina; big data; distant reading	Long Paper	Taking Stylometry to the Limits: Benchmark Study on 5,281 Texts from “Patrologia Latina”	classical studies; literary studies; medieval studies; stylistics and stylometry; authorship attribution / authority; English
62	Auvil, Loretta; Aiden, Erez Lieberman; Downie, J. Stephen; Schmidt, Benjamin; Bhattacharyya, Sayan; Organisciak, Piotr	Paper	AUVIL_Loretta_Exploration_of_Billions_of_Words_of_the_H.xml	text analysis; visualization; HTRC	Poster	Exploration of Billions of Words of the HathiTrust Corpus with Bookworm: HathiTrust + Bookworm Project	databases & dbms; information retrieval; text analysis; content analysis; visualisation; English
63	Morgan, Paige Courtney; Askey, Dale	Paper	MORGAN_Paige_Courtney_The_Question_of_the_Luminary__Bui.xml	infrastructure; initiative development; community building; sustainability	Long Paper	The Question of the Luminary: Building a Resilient Campus DH Culture	digital humanities - institutional support; project design; organization; management; digital humanities - facilities; interdisciplinary collaboration; English
64	Terras, Melissa; Bruchet, Liz; Malik, Amna; Collins, Susan; Beavan, David; Volley, Jo; Giacometti, Alejandro	Paper	TERRAS_Melissa_Digital_Humanities_as_Catalyst_for_Digit.xml	Archive; Digitisation; Public Engagement; Art History; Crowdsourcing	Long Paper	Digital Humanities as Catalyst for Digital Art History: The Slade Archive Project	archives; repositories; sustainability and preservation; art history; project design; organization; management; digitisation; resource creation; and discovery; interdisciplinary collaboration; crowdsourcing; English
65	Chawla, Swati; Ferguson, Andrew; Grayburn, Jennifer	Paper	FERGUSON_Andrew_Ivanhoe__A_Platform_for_Textual_Play.xml	pedagogy; storytelling; collaboration; content management; theory	Poster	Ivanhoe: A Platform for Textual Play	interface and user experience design; software design and development; digital humanities - pedagogy and curriculum; creative and performing arts; including writing; social media; English
66	Algee-Hewitt, Mark Andrew; Davis, Chelsea; Droge, Abigail; Eccles, Tasha; Eidem, Laura; Frank, Morgan; Fredner, Erik; Porter, J.D.; Shephard, Andrew; Walser, Hannah	Paper	ALGEE_HEWITT_Mark_Andrew_Suspense__Language__Narrative_.xml	suspense; quantitative analysis; social psychology; affective experience	Long Paper	Suspense: Language, Narrative, Affect	literary studies; text analysis; other; interdisciplinary collaboration; english studies; data mining / text mining; English
67	Heuser, Ryan; Algee-Hewitt, Mark; Bender, John	Paper	HEUSER_Ryan_James_Knowledge_Networks__Juxtaposed__Disci.xml	encyclopedia; knowledge; network; Enlightenment; disciplinarity	Long Paper	Knowledge Networks, Juxtaposed: Disciplinarity in the Encyclopédie and Wikipedia	historical studies; multilingual / multicultural approaches; visualisation; networks; relationships; graphs; media studies; data mining / text mining; English
68	Hung, Jen-Jou	Paper	HUNG_Jen_Jou_Applying_a_Combined_Quantitative_and_Quali.xml	Translatorship attribution; Chinese Translation of the Dīrgha-āgama (Taishō 1); Variable Length N-gram; Principle Component Analysis; Zhu Fonian	Long Paper	Applying a Combined Quantitative and Qualitative Analysis Method to Evaluate the Translatorship of the Fourth Division of the Chinese Translation of the Dīrgha-āgama	stylistics and stylometry; text analysis; asian studies; authorship attribution / authority; linguistics; translation studies; English
69	Angelopoulos, Spyros; Brown, Michael; Price, Dominic; Mortier, Richard; McAuley, Derek	Paper	ANGELOPOULOS_Spyros_You_can_leave_your_hat_on_line__Mul.xml	Computer-Mediated Communication; Multiple Identities; Empirical Methods; Quantitative Prototyping User-Centered Design / Human-Centered Design	Long Paper	You can leave your hat on-line: Multiple Context-Dependent Identities on Social Networking Sites	software design and development; user studies / user needs; internet / world wide web; social media; English
70	Newton, Greg; Bowman, Laurel	Paper	NEWTON_Greg_T_Myths_on_Maps.xml	XML; maps; myth	Poster	Myths on Maps	classical studies; geospatial analysis; interfaces and technology; digitisation; resource creation; and discovery; knowledge representation; maps and mapping; English
71	Schmidt, Desmond	Paper	SCHMIDT_Desmond_TILT_2__Text_to_Image_Linking_Tool.xml	OCR; text-to-image linking	Short Paper	TILT 2: Text to Image Linking Tool	image processing; audio; video; multimedia; digitisation; resource creation; and discovery; software design and development; programming; visualisation; linking and annotation; English
72	Schreibman, Susan; Clivaz, Claire; Tasovac, Toma; Ping Huang, Marianne; Benardou, Agiati; Scagliola, Stef; Wandl-Vogt, Eveline	Paper	SCHREIBMAN_Susan_The_Dariah_Reference_Curriculum_for_Di.xml	pedagogy; multilingualism	Poster	The Dariah Reference Curriculum for Digital Humanities (DARIAH-RC)	multilingual / multicultural approaches; digital humanities - pedagogy and curriculum; English
73	O'Sullivan, James Christopher	Paper	O_SULLIVAN_James_Christopher_Computational_approaches_t.xml	Contemporary Irish Literature; Literary Journals	Long Paper	Computational approaches to Ireland’s Contemporary Literary Journals	literary studies; stylistics and stylometry; text analysis; English
74	Organisciak, Peter; Auvil, Loretta; Downie, J.Stephen	Paper	ORGANISCIAK_Peter_Remembering_books__A_within_book_topi.xml	text analysis; topic modeling; visualisation	Short Paper	Remembering books: A within-book topic mapping technique	text analysis; visualisation; English
75	Verbert, Katrien	Paper	VERBERT_Katrien_On_the_Use_of_Visualization_for_the_Dig.xml	visualization; interaction; survey	Long Paper	On the Use of Visualization for the Digital Humanities	visualisation; spatio-temporal modeling; analysis and visualisation; English
76	Pierazzo, Elena	Paper	PIERAZZO_Elena_Disciplinary_Impact__The_Effect_of_Digit.xml	textual scholarship; digital methods; traditional methods	Long Paper	Disciplinary Impact: The Effect of Digital Editing	digital humanities - nature and significance; teaching and pedagogy; scholarly editing; bibliographic methods / textual studies; English
