article,journal,author,affiliation,original_name,year,country,iso_a3,source_tag,DH discipline,Data preservation and  digital curation,Digital heritage and multimedia,NLP,Other,Text analysis/mining,Textual scholarship
no_id_18,CH Working Papers,José Luis Madrigal,City University of New York,"Graduate Center, City University of New York",2008,United States,USA,journal,0.000919897633139,0.0027596921427174,0.0018397948588244001,0.7891043424606323,0.001839794917032,0.20261653308989458,0.0009198975167237
no_id_19,CH Working Papers,Jeff Smith,University of Saskatchewan,University of Saskatchewan,2008,Canada,CAN,journal,0.00048097714898175,0.00144293127232225,0.0009619542979635,0.00048097714898175,0.0009619544143788,0.09331485847360449,0.4023563265800476
no_id_19,CH Working Papers,Yin Liu,University of Saskatchewan,University of Saskatchewan,2008,Canada,CAN,journal,0.00048097714898175,0.00144293127232225,0.0009619542979635,0.00048097714898175,0.0009619544143788,0.09331485847360449,0.4023563265800476
no_id_2,CH Working Papers,Peter Stoicheff,University of Saskatchewan,University of Saskatchewan,2008,Canada,CAN,journal,0.0012511841487139,0.0037535530282183,0.0025023688795044,0.0012511844979599,0.16843242268078018,0.0075071050086987,0.8153021335601807
no_id_20,CH Working Papers,Ian Lancashire,University of Toronto,"Department of English, University of Toronto",2003,Canada,CAN,journal,0.0009772175690159,0.0029316525906323,0.0019544352544470997,0.0009772182675078,0.0019544353708624,0.040406245156191,0.9507988095283508
no_id_21,CH Working Papers,Marie-Odile Junker,Carleton University,"Institute of Cognitive Science, Carleton University",2009,Canada,CAN,journal,0.00056832429254425,0.0017049726448021502,0.0011366483522578501,0.0005683240597136,0.0011366478865966,0.3725638673640786,0.1223212406039238
no_id_21,CH Working Papers,Radu Luchian,Carleton University,"Institute of Cognitive Science, Carleton University",2009,Canada,CAN,journal,0.00056832429254425,0.0017049726448021502,0.0011366483522578501,0.0005683240597136,0.0011366478865966,0.3725638673640786,0.1223212406039238
no_id_22,CH Working Papers,France Martineau,University of Ottawa,"Laboratoire de Français Ancien, Faculté des Arts, Université d'Ottawa",2000,Canada,CAN,journal,0.0002672646078281,0.0008017938234842501,0.0005345293611752999,0.0002672647242434,0.00053452924476,0.04509726766264055,0.4524973332881928
no_id_22,CH Working Papers,Pierre Kunstmann,University of Ottawa,"Laboratoire de Français Ancien, Faculté des Arts, Université d'Ottawa",2000,Canada,CAN,journal,0.0002672646078281,0.0008017938234842501,0.0005345293611752999,0.0002672647242434,0.00053452924476,0.04509726766264055,0.4524973332881928
no_id_23,CH Working Papers,Rod Heimpel,University of Toronto,University of Toronto,2000,Canada,CAN,journal,0.0006781017873436,0.0017366912215947,0.0011577942059374001,0.0005788970738649,0.0011577940313144,0.9941118001588618,0.0005788970738649
no_id_24,CH Working Papers,Carolyn Guertin,University of Toronto,"McLuhan Program in Culture & Technology, University of Toronto",2009,Canada,CAN,journal,0.001421496621333,0.0042644840432329995,0.9800990655785428,0.0014214952243492,0.0028429889352990997,0.008528968435711898,0.0014214952243492
no_id_25,CH Working Papers,Susan E. Gibson,University of Alberta,University of Alberta,2009,Canada,CAN,journal,0.0005209712544456,0.0015629141707903,0.4493221906595863,0.0005209711962379,0.0010419423924757998,0.5465100543224252,0.0005209713126532
no_id_26,CH Working Papers,Dominic Forest,Laboratoire d’ANalyse Cognitive de l’Information (LANCI),Laboratoire d’ANalyse Cognitive de l’Information (LANCI),2005,,,journal,0.000539026746992,0.00161708029918365,0.0010780535521916499,0.000539026746992,0.001078053144738,0.4946097413776442,0.00053902668878435
no_id_26,CH Working Papers,Jean-Guy Meunier,University of Quebec at Montreal,Université du Québec à Montréal (UQAM),2005,Canada,CAN,journal,0.000539026746992,0.00161708029918365,0.0010780535521916499,0.000539026746992,0.001078053144738,0.4946097413776442,0.00053902668878435
no_id_27,CH Working Papers,Patrick Finn,St. Mary's College,"St. Mary's College, Calgary",2003,Japan,JPN,journal,0.0005484611028805,0.0016453830758109,0.34661565104033787,0.0005484609864652,0.0010969219729304,0.6489966652588918,0.0005484609864652
no_id_28,CH Working Papers,Allison Benner,University of Victoria,University of Victoria,2005,Canada,CAN,journal,0.00020843421225435,0.2472903513989877,0.0004168683371972,0.00020843421225435,0.00041686836630105,0.0012506052007665502,0.000208434154046675
no_id_28,CH Working Papers,John H. Esling,University of Victoria,University of Victoria,2005,Canada,CAN,journal,0.00020843421225435,0.2472903513989877,0.0004168683371972,0.00020843421225435,0.00041686836630105,0.0012506052007665502,0.000208434154046675
no_id_28,CH Working Papers,Lisa D. Bettany,University of Victoria,University of Victoria,2005,Canada,CAN,journal,0.00020843421225435,0.2472903513989877,0.0004168683371972,0.00020843421225435,0.00041686836630105,0.0012506052007665502,0.000208434154046675
no_id_28,CH Working Papers,Spencer Rose,University of Victoria,University of Victoria,2005,Canada,CAN,journal,0.00020843421225435,0.2472903513989877,0.0004168683371972,0.00020843421225435,0.00041686836630105,0.0012506052007665502,0.000208434154046675
no_id_29,CH Working Papers,Paul Dyck,Canadian Mennonite University,Canadian Mennonite University,2008,Canada,CAN,journal,0.2779068648815155,0.00079505835310545,0.0005300389893818,0.000265019480139,0.0005300389020703,0.16092571258195662,0.05904727801680565
no_id_29,CH Working Papers,Stuart Williams,"Independent scholar, Winnipeg","Independent scholar, Winnipeg",2008,,,journal,0.2779068648815155,0.00079505835310545,0.0005300389893818,0.000265019480139,0.0005300389020703,0.16092571258195662,0.05904727801680565
no_id_3,CH Working Papers,Stéfan Sinclair,McMaster University,McMaster University,2005,Canada,CAN,journal,0.9860035181045532,0.0027993037365376,0.0018662019865586,0.0009331009350717,0.0018662016955204,0.0055986067745832,0.000933101051487
no_id_30,CH Working Papers,Diane E. Dubrule,Carleton University,"Philosophy Department, Carleton University",2003,Canada,CAN,journal,0.0009770138422027,0.9872988548595458,0.0019540322246029,0.0009770138422027,0.0019540281500666,0.0058620837517081,0.000977013958618
no_id_31,CH Working Papers,Richard Cunningham,Acadia University,Acadia University,2008,Canada,CAN,journal,0.5854199528694153,0.0028015407733617,0.0018676938489078,0.0009338468080386,0.0464516675565391,0.0056030804989857,0.3569222688674927
no_id_32,CH Working Papers,Richard Cunningham,Acadia University,Acadia University,2009,Canada,CAN,journal,0.0012776374351233,0.0038329109083860002,0.0025552740553392997,0.001277636969462,0.0025552742881699,0.6092619748087598,0.3792392611503601
no_id_33,CH Working Papers,Claire Carlin,University of Victoria,University of Victoria,2005,Canada,CAN,journal,0.8160003423690796,0.012508997227996501,0.008339332416653501,0.1256243288516998,0.0083393282257019,0.025017991196363897,0.0041696666739881
no_id_34,CH Working Papers,John Bonnett,Oldenburger Institut für Informatik,"National Research Council of Canada, Institute for Information Technology, Fredericton, NB",2003,Germany,DEU,journal,0.0006512092077173,0.0019536272156983,0.2227973626577295,0.0006512090330943,0.7693881078739649,0.003907253791111999,0.0006512090330943
no_id_35,CH Working Papers,Michael Best,University of Victoria,University of Victoria,2005,Canada,CAN,journal,0.0008682401385158,0.0026047197752631,0.0017364795203319,0.0008682397310622,0.0017364798695779001,0.7272157203988169,0.2649700939655304
no_id_36,CH Working Papers,Fabienne H. Baider,University of Toronto,University of Toronto,2000,Canada,CAN,journal,0.0005127906333655,0.0015383717836811,0.0010255813249386,0.0005127908079884,0.001025581266731,0.0030767447897228997,0.9923081398010254
no_id_4,CH Working Papers,Stéfan Sinclair,University of Alberta,"Humanities Computing, University of Alberta",2003,Canada,CAN,journal,0.9864016771316528,0.0027196620940229,0.0018131080432794,0.0009065540507435,0.0018131079850717,0.0054393239552151,0.0009065540507435
no_id_5,CH Working Papers,Don Sinclair,York University,"Fine Arts Cultural Studies, Faculty of Fine Arts, York University",2009,Canada,CAN,journal,0.000665126601234,0.7549979654140769,0.2376856342307291,0.0006651265430264,0.0013302529696374,0.0039907587342892,0.000665126601234
no_id_6,CH Working Papers,Ray Siemens,University of Victoria,University of Victoria,2005,Canada,CAN,journal,0.4002671837806701,0.0041695600375532,0.0027797077782451,0.0013898537727072,0.0027797061484306,0.008339119493029701,0.5802748799324036
no_id_7,CH Working Papers,Paul A. Fortier,University of Manitoba,"Department of French, Spanish and Italian and the Centre on Aging, University of Manitoba",2003,Canada,CAN,journal,0.0004599822568707,0.0013799464795738001,0.00091996422270305,0.14796844124794006,0.0009199640480801,0.2459812820306978,0.1023704260587692
no_id_7,CH Working Papers,Susy Santos,University of Manitoba,"Department of French, Spanish and Italian and the Centre on Aging, University of Manitoba",2003,Canada,CAN,journal,0.0004599822568707,0.0013799464795738001,0.00091996422270305,0.14796844124794006,0.0009199640480801,0.2459812820306978,0.1023704260587692
no_id_8,CH Working Papers,Carlos Fiorentino,University of Alberta,University of Alberta,2008,Canada,CAN,journal,0.00013027343666179998,0.00039082027506078004,0.16738338470458985,0.0309230625629425,0.00026054682675748003,0.0007816405035555,0.00013027342502026
no_id_8,CH Working Papers,Milena Radzikowska,Mount Royal College,Mount Royal College,2008,,,journal,0.00013027343666179998,0.00039082027506078004,0.16738338470458985,0.0309230625629425,0.00026054682675748003,0.0007816405035555,0.00013027342502026
no_id_8,CH Working Papers,Piotr Michura,Academy of Fine Arts in Krakow,Academy of Fine Arts in Krakow,2008,,,journal,0.00013027343666179998,0.00039082027506078004,0.16738338470458985,0.0309230625629425,0.00026054682675748003,0.0007816405035555,0.00013027342502026
no_id_8,CH Working Papers,Stan Ruecker,University of Alberta,University of Alberta,2008,Canada,CAN,journal,0.00013027343666179998,0.00039082027506078004,0.16738338470458985,0.0309230625629425,0.00026054682675748003,0.0007816405035555,0.00013027342502026
no_id_8,CH Working Papers,Tanya Clement,"University of Maryland, College Park",University of Maryland,2008,United States,USA,journal,0.00013027343666179998,0.00039082027506078004,0.16738338470458985,0.0309230625629425,0.00026054682675748003,0.0007816405035555,0.00013027342502026
no_id_9,CH Working Papers,Geoffrey Rockwell,McMaster University,McMaster University,2005,Canada,CAN,journal,0.0015629671979695,0.0046888993820174,0.4431094960309565,0.2645223140716553,0.0031259331153705,0.2814273631665853,0.0015629671979695
10.2307_30200526,Computers and the Humanities,Raymond G. Siemens,Vancouver Island University, Malaspina University-College,2002,Canada,CAN,journal,0.1915425211191177,0.0031793813686816002,0.7946801419602707,0.0010597942164167,0.0021195882000028003,0.0063587642507624,0.001059794332832
10.2307_30200527,Computers and the Humanities,Michael Best,University of Victoria,"Coordinating Editor, Internet Shakespeare Editions, Department of English, University of Victoria",2002,Canada,CAN,journal,0.0006258916691876,0.0018776748911476001,0.0012517834547906,0.00062589161098,0.001251783047337,0.993741072481498,0.0006258919020183
10.2307_30200528,Computers and the Humanities,Susan Schreibman,"University of Maryland, MITH, Mckeldin Library","University of Maryland, MITH, Mckeldin Library",2002,,,journal,0.9886995553970336,0.0022600950323975,0.0015067302156239,0.0007533650496043,0.0015067305066622,0.004520190239418,0.0007533653406426
10.2307_30200529,Computers and the Humanities,William Winder,University of British Columbia," Department of French, Hispanic and Italian Studies, University of British Columbia",2002,Canada,CAN,journal,0.4318202733993529,0.0017557089449837002,0.0011704726493916,0.0005852362373843,0.0011704725911839998,0.5629125338746231,0.000585236295592
10.2307_30200530,Computers and the Humanities,Tamise Van Pelt,University of Nevada Reno,"University of Nevada, Reno, VA, USA",2002,United States,USA,journal,0.6456254124641418,0.2100519233499652,0.000970139633864,0.0004850697878282,0.0009701395756564,0.1414121898415029,0.0004850698460359
10.2307_30200531,Computers and the Humanities,Marshall Soules,Vancouver Island University,Malaspina University-College,2002,Canada,CAN,journal,0.9819628596305848,0.0036074359668416996,0.0024049578933044,0.0012024788884446,0.0024049574276431,0.007214873330667401,0.0012024786556139
10.2307_30200532,Computers and the Humanities,Geoffrey Rockwell,McMaster University,"Humanities Computing Centre, McMaster University",2002,Canada,CAN,journal,0.0012761441757902,0.0038284317124633004,0.7708436336833984,0.0012761438265442,0.0025522882351651,0.21894721547141638,0.0012761440593749
10.2307_30200533,Computers and the Humanities,Dene Grigar,Texas Woman's University," Associate Professor, Texas Woman's University, USA",2002,United States,USA,journal,0.0008120126440189,0.0024360364186575,0.0016240244731306002,0.0008120120619423,0.0016240245313382,0.9918799113365817,0.000812012294773
10.2307_30204526,Computers and the Humanities,Brigitte de la Passardière,Université Paris VI-LIP6,Université Paris VI-LIP6,2002,,,journal,0.0809284746646881,0.0009978748857974,0.16163309043622576,0.0003326250007376,0.0006652499141636501,0.00199574933503745,0.25344693660736084
10.2307_30204526,Computers and the Humanities,Claire Bustarret,French National Centre for Scientific Research,"CNRS-ITEM, France",2002,France,FRA,journal,0.0809284746646881,0.0009978748857974,0.16163309043622576,0.0003326250007376,0.0006652499141636501,0.00199574933503745,0.25344693660736084
10.2307_30204527,Computers and the Humanities,Dan-Hee Yang,"Department of Computer Science, Pyongtack University, Korea","Department of Computer Science, Pyongtack University, Korea",2002,,,journal,0.00016543286619706665,0.0004962986373963,0.0003308657711992333,0.17694520950317383,0.00033086569358903333,0.15489921063029508,0.00016543284679450002
10.2307_30204527,Computers and the Humanities,Ik-Hwan Lee,Yonsei University,"Department of English, Yonsei University, Korea",2002,South Korea,KOR,journal,0.00016543286619706665,0.0004962986373963,0.0003308657711992333,0.17694520950317383,0.00033086569358903333,0.15489921063029508,0.00016543284679450002
10.2307_30204527,Computers and the Humanities,Pascual Cantos,University of Murcia,"Department of English, University of Murcia, Spain",2002,Spain,ESP,journal,0.00016543286619706665,0.0004962986373963,0.0003308657711992333,0.17694520950317383,0.00033086569358903333,0.15489921063029508,0.00016543284679450002
10.2307_30204528,Computers and the Humanities,Martha Evens,Illinois Institute of Technology,Illinois Institute of Technology,2002,United States,USA,journal,0.00035925113479605,0.0010777534916996,0.0007185022695921,0.0003592520661186,0.0007185021531767499,0.49640748911770055,0.0003592511056922
10.2307_30204528,Computers and the Humanities,Saleem Abuleil,Chicago State University,Chicago State University,2002,United States,USA,journal,0.00035925113479605,0.0010777534916996,0.0007185022695921,0.0003592520661186,0.0007185021531767499,0.49640748911770055,0.0003592511056922
10.2307_30204529,Computers and the Humanities,Hamish Cunningham,University of Sheffield,"Department of Computer Science and Institute for Language, Speech and Hearing, University of Sheffield, UK",2002,United Kingdom,GBR,journal,0.0022325844038277,0.9251430071890353,0.050298576708882894,0.0022325839381664,0.0044651660136878,0.013395503163337399,0.0022325839381664
10.2307_30204685,Computers and the Humanities,Dilek Z. Hakkani-Tür,"AT&T Labs-Research, USA","AT&T Labs-Research, USA",2002,,,journal,0.00024234482164803335,0.0007270345619568667,0.0004846897403088333,0.3296981652577718,0.0004846897403088333,0.0014540693179392998,0.00024234482164803335
10.2307_30204685,Computers and the Humanities,Gökhan Tür,"AT&T Labs-Research, USA","AT&T Labs-Research, USA",2002,,,journal,0.00024234482164803335,0.0007270345619568667,0.0004846897403088333,0.3296981652577718,0.0004846897403088333,0.0014540693179392998,0.00024234482164803335
10.2307_30204685,Computers and the Humanities,Kemal Oflazer,Sabancı University,"Faculty of Engineering and Natural Sciences, Sabanci University",2002,Turkey,TUR,journal,0.00024234482164803335,0.0007270345619568667,0.0004846897403088333,0.3296981652577718,0.0004846897403088333,0.0014540693179392998,0.00024234482164803335
10.2307_30204686,Computers and the Humanities,C. Kelly,San Diego State University,"Department of Mathematical and Computer Sciences, San Diego State University",2002,United States,USA,journal,0.0001906545512611,0.00057196365378325,0.00038130907341835,0.00019065459491685,0.000381309131626,0.4980934180639451,0.00019065459491685
10.2307_30204686,Computers and the Humanities,J. A. Smith,San Diego State University,"Department of Classics & Humanities, San Diego State University",2002,United States,USA,journal,0.0001906545512611,0.00057196365378325,0.00038130907341835,0.00019065459491685,0.000381309131626,0.4980934180639451,0.00019065459491685
10.2307_30204687,Computers and the Humanities,Geunbae Lee,Pohang University of Science and Technology,"NLP Lab, Dept. of Computer Science & Engineering, Pohang University of Science and Technology (POSTECH)",2002,South Korea,KOR,journal,0.00024246973528836666,0.0007274091670599666,0.10885064606554805,0.05572797854741413,0.0004849395481869,0.16705741909875826,0.00024246973528836666
10.2307_30204687,Computers and the Humanities,Jeongwon Cha,Pohang University of Science and Technology,"NLP Lab, Dept. of Computer Science & Engineering, Pohang University of Science and Technology (POSTECH)",2002,South Korea,KOR,journal,0.00024246973528836666,0.0007274091670599666,0.10885064606554805,0.05572797854741413,0.0004849395481869,0.16705741909875826,0.00024246973528836666
10.2307_30204687,Computers and the Humanities,Jonghyeok Lee,Pohang University of Science and Technology,"NLP Lab, Dept. of Computer Science & Engineering, Pohang University of Science and Technology (POSTECH)",2002,South Korea,KOR,journal,0.00024246973528836666,0.0007274091670599666,0.10885064606554805,0.05572797854741413,0.0004849395481869,0.16705741909875826,0.00024246973528836666
10.2307_30204696,Computers and the Humanities,Eric Lecolinet,Télécom ParisTech,Ecole Nationale Supirieure des TeIlcommunications & CNRS URA 820,2002,France,FRA,journal,0.00021263252710923333,0.0006378976007302334,0.042746954093066336,0.00021263252710923333,0.00042526497660823337,0.07275896212862178,0.21633899211883545
10.2307_30204696,Computers and the Humanities,François Role,Universiti Paris X & INRIA (ATOLL project),Universiti Paris X & INRIA (ATOLL project),2002,,,journal,0.00021263252710923333,0.0006378976007302334,0.042746954093066336,0.00021263252710923333,0.00042526497660823337,0.07275896212862178,0.21633899211883545
10.2307_30204696,Computers and the Humanities,Laurent Robert,Télécom ParisTech,Ecole Nationale Supirieure des TeIlcommunications & CNRS URA 820,2002,France,FRA,journal,0.00021263252710923333,0.0006378976007302334,0.042746954093066336,0.00021263252710923333,0.00042526497660823337,0.07275896212862178,0.21633899211883545
10.2307_30204788,Computers and the Humanities,A. Kilgarriff,University of Brighton,"ITRI, University of Brighton, Bright",2000,United Kingdom,GBR,journal,0.0003593266010284,0.17326414590934283,0.0007186532602644999,0.29346784949302673,0.0007186531438491499,0.031112065713386847,0.0003593266010284
10.2307_30204788,Computers and the Humanities,J. Rosenzweig,University of Pennsylvania,"University of Pennsylvania, Pennsylvania, USA",2000,United States,USA,journal,0.0003593266010284,0.17326414590934283,0.0007186532602644999,0.29346784949302673,0.0007186531438491499,0.031112065713386847,0.0003593266010284
10.2307_30204790,Computers and the Humanities,Nicoletta Calzolari,Institute for Computational Linguistics “A. Zampolli”,Istituto di Linguistica Computazionale (ILC) - CNR,2000,Italy,ITA,journal,0.0004008992691524,0.0012026978947686999,0.0008017985383048,0.17307403683662415,0.00080179839278565,0.32331784782581946,0.00040089921094475
10.2307_30204790,Computers and the Humanities,Ornella Corazzari,Institute for Computational Linguistics “A. Zampolli”,Istituto di Linguistica Computazionale (ILC) - CNR,2000,Italy,ITA,journal,0.0004008992691524,0.0012026978947686999,0.0008017985383048,0.17307403683662415,0.00080179839278565,0.32331784782581946,0.00040089921094475
10.2307_30204791,Computers and the Humanities,I. Dan Melamed,West Group (Norway),West Group,2000,Norway,NOR,journal,0.00049619312630965,0.0014885793789289501,0.0009923863690346,0.0004961933009326,0.0009923861944116001,0.4950380742084234,0.00049619312630965
10.2307_30204791,Computers and the Humanities,Philip Resnik,"University of Maryland, College Park",University of Maryland,2000,United States,USA,journal,0.00049619312630965,0.0014885793789289501,0.0009923863690346,0.0004961933009326,0.0009923861944116001,0.4950380742084234,0.00049619312630965
10.2307_30204794,Computers and the Humanities,E. Agirre,University of the Basque Country,"LSI saila, Euskal Herriko Unibertsitatea, Donostia, Basque Country",2000,Spain,ESP,journal,0.000325858854921525,0.016801493824459574,0.000651717884466025,0.2292882055044174,0.000651717680739225,0.0019551538571249,0.000325858854921525
10.2307_30204794,Computers and the Humanities,G. Rigau,Universitat Politècnica de Catalunya,"Departament de LSI, Universitat Politbcnica de Catalunya, Barcelona, Catalonia",2000,Spain,ESP,journal,0.000325858854921525,0.016801493824459574,0.000651717884466025,0.2292882055044174,0.000651717680739225,0.0019551538571249,0.000325858854921525
10.2307_30204794,Computers and the Humanities,J. Atserias,Universitat Politècnica de Catalunya,"Departament de LSI, Universitat Politbcnica de Catalunya, Barcelona, Catalonia",2000,Spain,ESP,journal,0.000325858854921525,0.016801493824459574,0.000651717884466025,0.2292882055044174,0.000651717680739225,0.0019551538571249,0.000325858854921525
10.2307_30204794,Computers and the Humanities,L. Padró,Universitat Politècnica de Catalunya,"Departament de LSI, Universitat Politbcnica de Catalunya, Barcelona, Catalonia",2000,Spain,ESP,journal,0.000325858854921525,0.016801493824459574,0.000651717884466025,0.2292882055044174,0.000651717680739225,0.0019551538571249,0.000325858854921525
10.2307_30204795,Computers and the Humanities,Diana McCarthy,University of Sussex,"Cognitive & Computing Sciences, University of Sussex",2000,United Kingdom,GBR,journal,0.00111648952588435,0.00334946787916115,0.0022329789353534,0.4832526743412018,0.0022329781204462,0.006698935991153,0.0011164892930537
10.2307_30204795,Computers and the Humanities,John Carroll,University of Sussex,"Cognitive & Computing Sciences, University of Sussex",2000,United Kingdom,GBR,journal,0.00111648952588435,0.00334946787916115,0.0022329789353534,0.4832526743412018,0.0022329781204462,0.006698935991153,0.0011164892930537
10.2307_30204796,Computers and the Humanities,Claudia Leacock,Educational Testing Service,"Department of Cognitive and Instructional Science, Educational Testing Service, Princeton, NJ 08541, USA",2000,United States,USA,journal,0.00031102471984919996,0.0009330742371578333,0.0006220495561137666,0.11108372608820598,0.0006220493232831,0.2194503930707772,0.00031102471984919996
10.2307_30204796,Computers and the Humanities,George A. Miller,Princeton University,"Cognitive Science Laboratory, Princeton University, USA",2000,United States,USA,journal,0.00031102471984919996,0.0009330742371578333,0.0006220495561137666,0.11108372608820598,0.0006220493232831,0.2194503930707772,0.00031102471984919996
10.2307_30204796,Computers and the Humanities,Martin Chodorow,Hunter College,"Department of Psychology, Hunter College of CUNY",2000,United States,USA,journal,0.00031102471984919996,0.0009330742371578333,0.0006220495561137666,0.11108372608820598,0.0006220493232831,0.2194503930707772,0.00031102471984919996
10.2307_30204798,Computers and the Humanities,Ian Klincke,University of Sunderland," School of Computing & Information Systems, University of Sunderland, UK",2000,United Kingdom,GBR,journal,0.0005789207449803667,0.0017367619245002,0.21682502899784595,0.0005789210166161,0.0011578413735454,0.11187693868608517,0.0005789206673701334
10.2307_30204798,Computers and the Humanities,Jeremy Ellman,University of Sunderland," School of Computing & Information Systems, University of Sunderland, UK",2000,United Kingdom,GBR,journal,0.0005789207449803667,0.0017367619245002,0.21682502899784595,0.0005789210166161,0.0011578413735454,0.11187693868608517,0.0005789206673701334
10.2307_30204798,Computers and the Humanities,John Tait,University of Sunderland," School of Computing & Information Systems, University of Sunderland, UK",2000,United Kingdom,GBR,journal,0.0005789207449803667,0.0017367619245002,0.21682502899784595,0.0005789210166161,0.0011578413735454,0.11187693868608517,0.0005789206673701334
10.2307_30204799,Computers and the Humanities,David Nettleton,Durham University,"University of Durham, Southampton, UK",2000,United Kingdom,GBR,journal,0.0006252990569919,0.0018758971709757,0.25301002134801814,0.238861083984375,0.0012505981139838002,0.0037517947494050004,0.0006252989405766
10.2307_30204799,Computers and the Humanities,Paul Hawkins,Durham University,"University of Durham, Southampton, UK",2000,United Kingdom,GBR,journal,0.0006252990569919,0.0018758971709757,0.25301002134801814,0.238861083984375,0.0012505981139838002,0.0037517947494050004,0.0006252989405766
10.2307_30204800,Computers and the Humanities,Hae-Chang Rim,Korea University,"Korea University, Seoul",2000,South Korea,KOR,journal,0.0003788427760203666,0.0011365284056713,0.0007576855908458333,0.00037884300885100003,0.0007576857072611334,0.3295449005284657,0.0003788428148254667
10.2307_30204800,Computers and the Humanities,Ho Lee,Korea University,"Korea University, Seoul",2000,South Korea,KOR,journal,0.0003788427760203666,0.0011365284056713,0.0007576855908458333,0.00037884300885100003,0.0007576857072611334,0.3295449005284657,0.0003788428148254667
10.2307_30204800,Computers and the Humanities,Jungyun Seo,"Kogang University, Seoul","Kogang University, Seoul",2000,,,journal,0.0003788427760203666,0.0011365284056713,0.0007576855908458333,0.00037884300885100003,0.0007576857072611334,0.3295449005284657,0.0003788428148254667
10.2307_30204802,Computers and the Humanities,Kenneth C. Litkowski,"CL Research, USA","CL Research, USA",2000,,,journal,0.0006799565162509,0.0020398704800753,0.6080226766061969,0.1604859381914138,0.0013599130325018,0.22673169680638208,0.0006799566908739
10.2307_30204803,Computers and the Humanities,Janyce Wiebe,New Mexico State University,"Department of Computer Science and Computing Research Laboratory, New Mexico State University",2000,United States,USA,journal,0.0005345387617126,0.1458264081738889,0.031399972271174165,0.0005345390333483333,0.0010690776786456333,0.15343424953365073,0.0005345387229075
